Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
A,I,2,4R,0,2,0,0,0,8.47836
A,S,2,4R,0,2,0,0,0,16.5527
A,T,2,4R,0,4,0,0,0,24.2239
A,J,2,4R,3,0,0,0,0,32.29891
A,L,2,4R,0,0,0,0,0,39.99776
A,O,2,4R,0,2,0,0,0,47.26513
A,T,2,4R,1,6,3,0,0,54.12826
A,Z,2,4R,2,0,1,0,0,61.40959
A,L,2,4R,0,4,0,0,0,67.8689
A,J,2,4R,3,1,3,0,0,75.15018
A,L,2,4R,0,0,0,0,0,81.20643
A,T,2,4R,1,6,3,0,0,86.85855
A,S,2,4R,1,1,0,0,0,92.51134
A,O,2,4R,0,2,0,0,0,98.56712
A,T,2,4R,0,3,0,0,0,103.816
A,L,2,4R,0,0,2,0,0,108.6604
A,Z,2,4R,0,3,0,0,0,113.5056
A,I,2,4R,0,0,1,0,0,120.3693
A,O,2,4R,1,0,0,0,0,124.81
A,I,2,4R,5,1,1,0,0,131.6734
A,O,2,4R,0,3,0,0,0,135.7116
A,L,2,4R,2,2,2,0,0,139.3446
A,Z,2,4R,2,2,1,0,0,144.5932
A,L,2,4R,2,2,0,0,0,147.8234
A,J,2,4R,1,3,3,0,0,151.8603
A,I,2,4R,5,0,1,0,0,159.5318
A,L,2,4R,1,0,1,4,4,164.7797
A,O,2,4R,1,0,0,0,4,168.8172
A,L,2,4R,2,2,0,0,4,172.0467
A,O,2,4R,2,0,0,0,4,174.873
A,I,2,4R,5,0,1,0,4,182.5445
A,Z,2,4R,4,6,1,2,6,189.0038
A,J,2,4R,1,2,3,0,6,195.102
A,Z,2,4R,1,2,1,0,6,199.9466
A,O,2,4R,2,0,0,0,6,202.7728
A,I,2,4R,2,2,1,0,6,207.2132
A,Z,2,4R,0,1,1,0,6,211.251
A,S,2,4R,0,3,0,0,6,214.481
A,L,2,4R,0,2,2,0,6,216.4998
A,I,2,4R,4,2,0,0,6,218.9228
A,S,2,4R,0,2,0,0,6,220.5371
A,I,2,4R,0,2,0,0,6,221.7485
A,Z,2,4R,0,0,0,0,6,229.8229
A,L,7,4R,0,5,0,0,0,7.822811
A,I,7,4R,2,1,0,0,0,16.30067
A,S,7,4R,0,5,0,0,0,23.97189
A,I,7,4R,1,0,0,0,0,32.04675
A,J,7,4R,5,3,7,0,0,40.12164
A,S,7,4R,1,5,0,0,0,47.40241
A,Z,7,4R,1,0,0,0,0,54.66993
A,O,7,4R,0,1,0,0,0,61.53353
A,T,7,4R,0,5,3,0,0,67.99307
A,I,7,4R,5,0,1,0,0,75.66434
A,S,7,4R,1,0,0,0,0,82.52798
A,Z,7,4R,1,3,1,1,1,90.60239
A,I,7,4R,4,0,1,0,1,98.27976
A,Z,7,4R,1,2,1,3,4,107.1693
A,T,7,4R,0,0,2,0,4,114.8406
A,S,7,4R,1,0,0,0,4,122.5117
A,Z,7,4R,1,0,0,0,4,129.7792
A,J,7,4R,4,0,3,0,4,137.8539
A,T,7,4R,0,5,3,2,6,146.7359
A,I,7,4R,5,0,1,1,7,155.6181
A,Z,7,4R,1,1,0,0,7,163.6926
A,O,7,4R,3,0,0,0,7,171.7814
A,Z,7,4R,0,1,0,1,8,181.0665
A,T,7,4R,0,4,2,0,8,188.7383
A,L,7,4R,0,2,2,0,8,196.005
A,O,7,4R,3,0,0,0,8,203.6763
A,J,7,4R,0,3,0,0,8,210.9429
A,L,7,4R,0,2,0,0,8,217.8069
A,O,7,4R,0,4,0,0,8,224.6698
A,I,7,4R,2,0,1,0,8,232.3415
A,T,7,4R,3,3,0,3,11,241.2237
A,I,7,4R,5,0,1,0,11,248.8948
A,Z,7,4R,1,3,1,0,11,256.5662
A,T,7,4R,3,2,1,0,11,263.4292
A,L,7,4R,0,2,1,0,11,270.2926
A,I,7,4R,4,0,1,0,11,277.964
A,L,7,4R,0,6,3,0,11,284.8274
A,O,7,4R,0,2,0,0,11,291.6906
A,I,7,4R,3,0,1,0,11,299.3616
