Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
B,T,5,7R,0,4,0,0,0,7.782063
B,Z,5,7R,1,1,0,0,0,15.88392
B,J,5,7R,3,1,0,0,0,23.95931
B,L,5,7R,3,0,1,0,0,31.62952
B,I,5,7R,0,4,1,1,1,40.50889
B,O,5,7R,0,2,0,0,1,48.6129
B,I,5,7R,4,0,1,0,1,56.32484
B,T,5,7R,1,0,1,0,1,63.9944
B,L,5,7R,1,6,3,1,2,72.87836
B,S,5,7R,1,2,1,0,2,80.99568
B,T,5,7R,5,3,2,0,2,87.86018
B,L,5,7R,1,4,3,0,2,95.14112
B,S,5,7R,1,1,1,0,2,102.0178
B,J,5,7R,0,3,1,0,2,108.8944
B,L,5,7R,0,4,3,0,2,115.3699
B,S,5,7R,3,1,5,0,2,121.83
B,T,5,7R,3,1,1,0,2,127.0921
B,S,5,7R,0,4,1,0,2,133.1614
B,I,5,7R,5,0,5,0,2,140.4701
B,O,5,7R,0,1,0,1,3,147.7943
B,Z,5,7R,0,3,3,0,3,153.0428
B,I,5,7R,1,4,1,0,3,156.6758
B,L,5,7R,0,3,0,0,3,161.1175
B,S,5,7R,2,2,1,0,3,166.7971
B,J,5,7R,4,1,3,0,3,172.4637
B,S,5,7R,1,1,1,0,3,177.3631
B,Z,5,7R,3,1,3,0,3,181.4159
B,J,5,7R,0,2,2,0,3,183.838
B,L,5,7R,2,0,4,0,3,187.4718
B,S,5,7R,0,3,2,0,3,191.926
B,Z,5,7R,2,1,1,0,3,195.964
B,L,5,7R,0,2,0,0,3,197.9968
B,O,5,7R,3,2,0,0,3,200.433
B,T,5,7R,0,1,0,0,3,201.6443
B,L,5,7R,0,0,0,0,3,209.7193
B,I,2,7R,0,4,1,0,0,7.503901
B,S,2,7R,3,1,2,0,0,15.98204
B,T,2,7R,2,1,0,0,0,24.07136
B,J,2,7R,0,1,0,0,0,32.14534
B,L,2,7R,0,5,3,0,0,39.81671
B,O,2,7R,2,5,0,1,1,48.30801
B,T,2,7R,4,0,1,0,1,56.02177
B,Z,2,7R,2,1,1,0,1,64.09638
B,L,2,7R,4,2,3,0,1,71.36366
B,J,2,7R,4,1,1,0,1,79.03486
B,L,2,7R,0,1,3,0,1,85.92646
B,T,2,7R,0,5,3,0,1,92.38648
B,S,2,7R,1,6,0,0,1,98.44255
B,O,2,7R,1,2,0,0,1,105.306
B,T,2,7R,2,3,0,0,1,111.3628
B,L,2,7R,2,3,1,0,1,116.2207
B,Z,2,7R,6,3,1,0,1,122.7094
B,I,2,7R,5,0,1,0,1,128.3745
B,O,2,7R,1,3,0,0,1,134.041
B,I,2,7R,4,0,1,0,1,139.6937
