P#,Body,TLeftCong,TLeftIncon,TRightCon,TRightIncon,#RotateCon,#RotateIncon,#ClearLineCon,#ClearLineIncon,TimeToCompCon,TimeToCompIncon,TimeToCompPiecewiseCon,TimeToCompPieceWiseIncon,OCompLineCon,OCompLineIncon,SCompLineCon,SCompLineIncon,ZCompLineCon,ZCompLineIncon,TCompLineCon,TCompLineIncon,LCompLineCon,LCompLineIncon,JCompLineCon,JCompLineIncon,ICompLineCon,ICompLineIncon
1,0,1.38,1.38,1.58,1.60,1.55,1.47,0.11,0.11,6.12,2.86,0.08,0.09,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.04,0.02,0.01,0.02,0.02,0.01,0.01
2,0,1.35,1.33,1.56,1.65,0.76,0.01,0.06,0.05,4.58,2.39,1.82,2.44,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.01
3,1,1.21,1.22,1.58,1.24,1.06,1.16,0.02,0.03,4.56,2.09,1.79,2.49,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00
4,0,1.61,1.54,1.71,1.81,1.59,1.99,0.06,0.09,4.98,2.57,2.00,2.57,0.01,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.01,0.04,0.02,0.03,0.00,0.01
5,0,1.45,1.41,1.56,1.38,1.43,1.41,0.20,0.12,8.22,2.35,3.77,2.80,0.03,0.02,0.01,0.01,0.04,0.04,0.03,0.01,0.02,0.02,0.05,0.01,0.02,0.01
6,0,1.85,1.74,1.98,1.89,1.40,1.34,0.19,0.15,7.64,3.97,3.53,3.34,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.02,0.02,0.03,0.01
7,0,1.29,1.49,1.34,1.67,0.89,0.79,0.05,0.04,1.87,4.30,2.23,1.72,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.02,0.01,0.02,0.01,0.00,0.01,0.00
8,1,1.64,1.62,1.96,1.60,1.35,1.16,0.12,0.09,3.09,5.76,3.04,2.39,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01
9,1,2.01,1.88,1.95,2.01,1.14,1.22,0.09,0.11,2.21,5.07,2.49,2.23,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01
10,0,0.51,0.94,1.36,0.80,1.47,1.31,0.00,0.00,2.21,1.27,0.93,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

